file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0204_0065_755374_to_761308,དེ་སྔ་ངས་སྙན་ངག་དེ་བྲིས་ཡ་དེ་ང་གཉའ་ཞུམ་འདོད་མེད་ཙང་བྲིས་པ་ཡིན ,de snga ngas snyan ngag de bris ya de nga gnya' zhum 'dod med tsang bris pa yin_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0204_0065_755374_to_761308.wav,STT_MV,3,62,5.934,wav16k/STT_MV0204_0065_755374_to_761308.wav,དེ་སྔོ་ངས་སྙན་ངག་འདེ་བྲི་ཡ་དེ་ང་གཉའ་ཞུ་འདོད་མེད་ཙང་དྲིས་པ་ཡིན།
STT_MV0472_0162_1645401_to_1651350,གལ་སྲིད་ལྷས་སྦྱིན་ལ་ཕར་གཞུས་པ་ཡིན་ན། ཁོ་རང་ལ་རྨས་སྐྱོན་འཕོག་རྒྱུ་ཉག་གཅིག་རང་རེད།  ,gal srid lhas sbyin la phar gzhus pa yin na/_kho rang la rmas skyon 'phog rgyu nyag gcig rang red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0472_0162_1645401_to_1651350.wav,STT_MV,3,82,5.949,wav16k/STT_MV0472_0162_1645401_to_1651350.wav,གལ་སྲིད་ལྷས་བྱིན་ལ་ཕར་ཞུས་པ་ཡིན་ན། ཁོ་རང་ལ་རྨས་སྐྱོན་ཕོག་རྒྱུ་ཉག་གཅིག་རང་རེད།
STT_MV0204_0074_808663_to_812548,ང་ཨང་ཉི་ཤུ་རྩ་དྲུག་པ་དེ་རེད་ཤག ,nga ang nyi shu rtsa drug pa de red shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0204_0074_808663_to_812548.wav,STT_MV,3,31,3.885,wav16k/STT_MV0204_0074_808663_to_812548.wav,ང་ཨང་ཉི་ཤུ་རྩ་དྲུག་པ་དེ་རེད་ཤག
STT_CS-X-2015-M-D-B02-3-R-02_0068_445332_to_453395,ཏོག་ཙི། གྲོགས་མོ་ཡག་ཤོས་ང་། ང་མཉམ་དུ་རེད། ཨེ་ནས་མོ། པདྨ་ལབ་ཡག་འཁྲུག་པ་ཚ། ཏོག་ཙི་ཁོང་ཁྲོ་ལངས་འདུག་ད་རཱ། མོ་ཡིས་ང་ལ་ཨེ་འདྲའི་ལབ་སོང་།  ,tog tsi/_grogs mo yag shos nga /_nga mnyam du red/_e nas mo/_pad+ma lab yag 'khrug pa tsha/_tog tsi khong khro langs 'dug da rA/_mo yis nga la e 'dra'i lab song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2015-M-D-B02-3-R-02_0068_445332_to_453395.wav,STT_CS,3,133,8.063,wav16k/STT_CS-X-2015-M-D-B02-3-R-02_0068_445332_to_453395.wav,དི། གྲོགས་མོ་ཡག་ཤོས་ང་། ང་མཉམ་དུ་རག། ཨ་ནས་མོ་པདྨ་ལབ་ཡག་དེ་ཁྲུག་པ་ཟ་རད། ཏིག་ཙི་མ་རེད། ཁོང་ཁྲོ་ལངས་འདུག་ད་རཱ། མོ་ཡིས་ང་ལ་ཨེ་འདྲའི་ལབེད།
STT_NS_M0484_0474_3237022_to_3239667,ཡ་ཡུད་བྲོ་བ་ཆེན་པོ་འདྲ་བོ་ཞིག་འདུག་རཱ། ཨེ་ནས།  ,ya yud bro ba chen po 'dra bo zhig 'dug rA/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0484_0474_3237022_to_3239667.wav,STT_NS,3,47,2.645,wav16k/STT_NS_M0484_0474_3237022_to_3239667.wav,ཡ་ཡུད་བྲོ་བ་ཆེན་པོ་འདྲ་བོ་ཅིག་འདུག་རཱ། ཨེ་ནས།
STT_CS-X-2012-M-D-B03-5-R-02_0045_325328_to_330964,དམག་ཁང་ནས་ལྕགས་ར་ཏ་ལ་རེད། ཨེ་ནས་ཉིས་སྟོང་ཉི་ཤུ་རྩ་གཅིག་ཀ་ཅི་དགུན་ཀ་གུང་གསེང་ལ་པཱ་ལགས་ཀི་རཱ། ང་ཚོ།  ,dmag khang nas lcags ra ta la red/_e nas nyis stong nyi shu rtsa gcig ka ci dgun ka gung gseng la pA lags ki rA/_nga tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-M-D-B03-5-R-02_0045_325328_to_330964.wav,STT_CS,3,99,5.636,wav16k/STT_CS-X-2012-M-D-B03-5-R-02_0045_325328_to_330964.wav,མ་བཀར་ནས་ཅགས་ར་ཏ་ལ་ཡོད་རེད། ཨ་ནས་ཉིས་སྟངས་ཉི་ཤུ་རྩ་གཅིག་ཀ་ཅི་དགུན་ཁ་གུང་གསེང་ལ་པ་ལགས་ཀྱིས་རཱ། ང་ཚོ།
STT_MV0782_0286_2006629_to_2011659,གལ་སྲིད་ཧན་ཤོད་ཀྲའོ་ཚང་ནས་པུད་པ་ཡིན་ན་མོ་རང་གཤིས་ཀ་གྱོང་པོ་དེས་ཨར་བརྟེན་ཨ་ཡོང་།  ,gal srid han shod kra'o tshang nas pud pa yin na mo rang gshis ka gyong po des ar brten a yong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0782_0286_2006629_to_2011659.wav,STT_MV,3,81,5.03,wav16k/STT_MV0782_0286_2006629_to_2011659.wav,གལ་སྲིད་ཧན་ཤོད་ ཀྲའོ་ཚ་ནས་ཕུད་པ་ཡིན་ན། མོ་རང་ཤིས་ཀ་གྱོང་པོ་དེ་ཨར་བརྟེན་ཨ་ཡོང་།
STT_MV0204_0078_833220_to_836573,དམིགས་བསལ་ཕོ་ཉ་མངགས་ཡ་ག་རེ་ཡིན་ན ,dmigs bsal pho nya mngags ya ga re yin na_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0204_0078_833220_to_836573.wav,STT_MV,3,33,3.353,wav16k/STT_MV0204_0078_833220_to_836573.wav,དམིགས་བསལ་ཕོ་ཉ་མངགས་ཡ་ག་རེ་ཡིན་ན
STT_MV0472_0137_1229336_to_1238170,ཤཱཀྱའི་རིགས་ཀི་རྒྱལ་སྲས་གཞན་དག་ཚང་མ། ཁོང་ནང་གཉིས་ཀི་གཟིད་བརྗིད་ལ་མ་བཟོད་པར་སྔ་ས་ནས་བག་འཁུམས་བྱས།  ,shAkya'i rigs ki rgyal sras gzhan dag tshang ma/_khong nang gnyis ki gzid brjid la ma bzod par snga sa nas bag 'khums byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0472_0137_1229336_to_1238170.wav,STT_MV,3,98,8.834,wav16k/STT_MV0472_0137_1229336_to_1238170.wav,ཤཱཀྱའི་རིགས་ཀི་རྒྱལ་སྲས་གཞན་དག་ཚང་མ། ཁོ་རང་གཉིས་ཀི་གཟི་བརྗིད་ལ་མ་བཟོད་པར། སྔ་ས་ནས་བག་སཁུམ་བྱས།
STT_NS_M0486_0143_1176095_to_1180496,ཆུ་ཚོད་གཅིག་ལས་ཉུང་བ་འགོར་ཡ་གི་ས་ཆ་ད་ཉེ་འགྲམ་ཉེ་འགྲམ། ཨེ་འདྲའི་ད་ག་བ་ལ་འགྲོ་མྱོང་ཡོད་ལབ་ན་རཱ།  ,chu tshod gcig las nyung ba 'gor ya gi sa cha da nye 'gram nye 'gram/_e 'dra'i da ga ba la 'gro myong yod lab na rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0486_0143_1176095_to_1180496.wav,STT_NS,3,95,4.401,wav16k/STT_NS_M0486_0143_1176095_to_1180496.wav,ཆུ་ཚོད་གཅིག་ལས་ཉུང་བ་འགོར་ཡ་གི་ས་ཆ་ད་ཉེ་འགྲམ་ཉེ་འགྲམ་ཨེ་འདྲའི་ད་ག་བ་ལ་འགྲོ་མྱོང་ཡོད་ལབ་ན་རཱ།
